part of corpus:
id:70 LV:0.5717213114754098 LD:0.375
id:71 LV:0.5398633257403189 LD:0.3621867881548975
id:72 LV:0.5658119658119658 LD:0.38803418803418804
id:73 LV:0.5292035398230088 LD:0.3823008849557522
id:74 LV:0.5492227979274611 LD:0.2763385146804836
id:75 LV:0.5505050505050505 LD:0.3602693602693603
id:76 LV:0.5758835758835759 LD:0.3471933471933472
id:77 LV:0.5551020408163265 LD:0.33877551020408164
id:78 LV:0.535064935064935 LD:0.36623376623376624
id:79 LV:0.49612403100775193 LD:0.3695090439276486
id:80 LV:0.5300668151447662 LD:0.34075723830734966
id:81 LV:0.553941908713693 LD:0.34854771784232363
id:82 LV:0.5328185328185329 LD:0.33204633204633205
id:83 LV:0.49320388349514566 LD:0.3339805825242718
id:84 LV:0.5180180180180181 LD:0.28603603603603606
id:85 LV:0.5212981744421906 LD:0.34685598377281945
id:86 LV:0.5235042735042735 LD:0.3055555555555556
id:87 LV:0.5617021276595745 LD:0.3595744680851064
id:88 LV:0.5490196078431373 LD:0.35294117647058826
id:89 LV:0.5287846481876333 LD:0.35394456289978676
id:90 LV:0.524731182795699 LD:0.33548387096774196
id:91 LV:0.5076586433260394 LD:0.3347921225382932
id:92 LV:0.5571847507331378 LD:0.34310850439882695
id:93 LV:0.5653153153153153 LD:0.32882882882882886
id:94 LV:0.5714285714285714 LD:0.34325396825396826
id:95 LV:0.44935543278084716 LD:0.285451197053407
id:96 LV:0.502283105022831 LD:0.3287671232876712
id:97 LV:0.5250463821892394 LD:0.3580705009276438
id:98 LV:0.5329087048832272 LD:0.31210191082802546
id:99 LV:0.5136054421768708 LD:0.30952380952380953
sentence-level:
sentence_level LV:0.908605939537263 sentence-level LD:0.3528992302780273
total corpus:
LV:0.1924080616669343 LD:0.3476192387987795 avg_L:24.945418127190788
