part of corpus:
id:65 LV:0.5120593692022264 LD:0.32653061224489793
id:66 LV:0.5794392523364486 LD:0.3621495327102804
id:67 LV:0.5625 LD:0.40535714285714286
id:68 LV:0.5340425531914894 LD:0.30425531914893617
id:69 LV:0.5456349206349206 LD:0.3869047619047619
id:70 LV:0.5711340206185567 LD:0.3711340206185567
id:71 LV:0.5377574370709383 LD:0.36613272311212813
id:72 LV:0.5604770017035775 LD:0.3901192504258944
id:73 LV:0.5491949910554562 LD:0.3935599284436494
id:74 LV:0.54421768707483 LD:0.272108843537415
id:75 LV:0.5500848896434635 LD:0.35823429541595925
id:76 LV:0.5826446280991735 LD:0.34710743801652894
id:77 LV:0.5557851239669421 LD:0.34297520661157027
id:78 LV:0.5216284987277354 LD:0.35368956743002544
id:79 LV:0.5025906735751295 LD:0.3601036269430052
id:80 LV:0.5292792792792793 LD:0.34459459459459457
id:81 LV:0.5415821501014199 LD:0.34685598377281945
id:82 LV:0.5281553398058253 LD:0.31650485436893205
id:83 LV:0.497029702970297 LD:0.3326732673267327
id:84 LV:0.5202702702702703 LD:0.2882882882882883
id:85 LV:0.5151515151515151 LD:0.3393939393939394
id:86 LV:0.5212765957446809 LD:0.30851063829787234
id:87 LV:0.5623678646934461 LD:0.35517970401691334
id:88 LV:0.533816425120773 LD:0.3526570048309179
id:89 LV:0.5210970464135021 LD:0.350210970464135
id:90 LV:0.5496688741721855 LD:0.33995584988962474
id:91 LV:0.5109170305676856 LD:0.34497816593886466
id:92 LV:0.5529411764705883 LD:0.3411764705882353
id:93 LV:0.5590200445434298 LD:0.3273942093541203
id:94 LV:0.5590551181102362 LD:0.33858267716535434
id:95 LV:0.44770642201834865 LD:0.28440366972477066
id:96 LV:0.49774774774774777 LD:0.32882882882882886
id:97 LV:0.5176908752327747 LD:0.3649906890130354
id:98 LV:0.5442764578833693 LD:0.31533477321814257
id:99 LV:0.5101351351351351 LD:0.30743243243243246
sentence-level:
sentence_level LV:0.9081392516239107 sentence-level LD:0.3522948199779275
total corpus:
LV:0.19110405402689284 LD:0.34749663336884207 avg_L:24.913870806209314
